country,deleted,description,effective_date,end_date,form_name_classification,legacy_return_name,major,minor,preview_image,purpose,region,revision,scope_level_guess,status,tax_form_code,tax_form_name
US,False,City of Alakanuk Tax Return,1990-01-01T00:00:00,9999-12-31T00:00:00,descriptive_state_level_label,AKALAKANUK,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/3cdd44c3-3879-43aa-9427-6c663ea575a9.png,,AK,0,likely_state_or_province_level,PRODUCTION,USAKALAKANUK,AK Alakanuk
US,False,Monthly Sales Tax Report,2018-10-01T00:00:00,9999-12-31T00:00:00,descriptive_state_level_label,AKALEKNAGIK,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/9cf4a675-f1f7-4fbb-bf16-68f476282f1d.png,,AK,4,likely_state_or_province_level,PRODUCTION,USAKALEKNAGIK,AK Aleknagik
US,False,Anderson Sales Tax Return,2014-09-01T00:00:00,9999-12-31T00:00:00,descriptive_state_level_label,AKANDERSON,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/ec3f5a2b-fddf-4762-9677-3d73fd63d687.png,,AK,7,likely_state_or_province_level,PRODUCTION,USAKANDERSON,AK Anderson
US,False,Sales Tax Report (Quarterly),2019-08-01T00:00:00,9999-12-31T00:00:00,descriptive_state_level_label,AKANGOON,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/97acbc36-cae9-4338-b276-e4cc379b6959.png,,AK,10,likely_state_or_province_level,PRODUCTION,USAKANGOON,AK Angoon
US,False,Aniak Sales Tax Return,2012-07-01T00:00:00,9999-12-31T00:00:00,descriptive_state_level_label,AKANIAK,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/647e1036-f124-4083-91ba-7bee97440448.png,,AK,4,likely_state_or_province_level,PRODUCTION,USAKANIAK,AK Aniak
US,False,Kwethluk Sales Tax Return,1900-01-01T00:00:00,9999-12-31T00:00:00,descriptive_state_level_label,AKBETHELKWETHLUK,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/8ca7bf8c-7948-4b58-aaf7-15f1b8221860.png,,AK,6,likely_state_or_province_level,PRODUCTION,USAKBETHELKWETHLUK,AK Bethel Kwethluk
US,False,Monthly Sales Tax Report,2020-01-01T00:00:00,9999-12-31T00:00:00,descriptive_state_level_label,AKBETHELMST,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/3927e079-ec36-4ac7-b91b-8e0066ea2919.png,,AK,16,likely_state_or_province_level,PRODUCTION,USAKBETHELMST,AK Bethel
US,False,Seller's Monthly Sales Tax Return,2018-01-01T00:00:00,9999-12-31T00:00:00,descriptive_state_level_label,AKBREVIG,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/b2ef6fa1-499c-446a-97e5-b8817ace4e31.png,,AK,2,likely_state_or_province_level,PRODUCTION,USAKBREVIG,AK Brevig Mission
US,False,City of Buckland Tax Return,2018-01-01T00:00:00,9999-12-31T00:00:00,descriptive_state_level_label,AKBUCKLAND,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/b4ce4f0b-f270-475f-8584-af3c522d7d97.png,,AK,5,likely_state_or_province_level,PRODUCTION,USAKBUCKLAND,AK Buckland
US,False,City of Chefornak Tax Return,1990-01-01T00:00:00,9999-12-31T00:00:00,descriptive_state_level_label,AKCHEFORNAK,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/f058339c-5dea-4c92-b0f4-3f479b247bd2.png,,AK,0,likely_state_or_province_level,PRODUCTION,USAKCHEFORNAK,AK Chefornak
