city_name,code_join_key,country,county_fips,county_join_key,county_name,effective_date,end_date,is_acm,is_local_admin,is_sst,jurisdiction_code,jurisdiction_id,jurisdiction_type,name,name_join_key,place_fips,place_join_key,region,short_name,state_fips,state_join_key,tax_authority_type_id
,US|AL|Special|1201000030,US,045,US-AL-01-045,,2012-06-01T00:00:00Z,9999-12-31T00:00:00Z,True,True,False,1201000030,2001060133,Special,DALE CO INSIDE CITY LIMITS OF DALEVILLE & OZARK,US|AL|Special|DALE CO INSIDE CITY LIMITS OF DALEVILLE & OZARK,,,AL,DALE CO CL DVL OZARK 7723,01,US-AL-01,
,US|AL|Special|1201000033,US,045,US-AL-01-045,,2012-06-01T00:00:00Z,9999-12-31T00:00:00Z,True,True,False,1201000033,2001060136,Special,DALE CO OUTSIDE CITY LIMITS OF DALEVILLE & OZARK,US|AL|Special|DALE CO OUTSIDE CITY LIMITS OF DALEVILLE & OZARK,,,AL,DALE CO 7023,01,US-AL-01,
,US|KS|Special|20969,US,,,,2013-07-01T00:00:00Z,9999-12-31T00:00:00Z,False,False,True,20969,2000004105,Special,KS SPECIAL TAX DISTRICT (20969),US|KS|Special|KS SPECIAL TAX DISTRICT (20969),,,KS,SPECIAL TAX DISTRICT,20,US-KS-20,
,US|AL|Special|1201000037,US,043,US-AL-01-043,,2012-06-01T00:00:00Z,9999-12-31T00:00:00Z,True,True,False,1201000037,2001060140,Special,CULLMAN CO,US|AL|Special|CULLMAN CO,,,AL,CULLMAN CO,01,US-AL-01,
,US|KS|Special|20975,US,,,,2013-07-01T00:00:00Z,9999-12-31T00:00:00Z,False,False,True,20975,2000004106,Special,KS SPECIAL TAX DISTRICT (20975),US|KS|Special|KS SPECIAL TAX DISTRICT (20975),,,KS,SPECIAL TAX DISTRICT,20,US-KS-20,
,US|KS|Special|20976,US,,,,2013-07-01T00:00:00Z,9999-12-31T00:00:00Z,False,False,True,20976,2000004107,Special,KS SPECIAL TAX DISTRICT (20976),US|KS|Special|KS SPECIAL TAX DISTRICT (20976),,,KS,SPECIAL TAX DISTRICT,20,US-KS-20,
,US|AL|Special|1201000039,US,043,US-AL-01-043,,2012-06-01T00:00:00Z,9999-12-31T00:00:00Z,True,True,False,1201000039,2001060142,Special,CULLMAN CO PJ ARAB,US|AL|Special|CULLMAN CO PJ ARAB,,,AL,CULLMAN CO PJ ARAB,01,US-AL-01,
,US|KS|Special|20977,US,,,,2013-07-01T00:00:00Z,9999-12-31T00:00:00Z,False,False,True,20977,2000004108,Special,KS SPECIAL TAX DISTRICT (20977),US|KS|Special|KS SPECIAL TAX DISTRICT (20977),,,KS,SPECIAL TAX DISTRICT,20,US-KS-20,
,US|KS|Special|20978,US,,,,2013-07-01T00:00:00Z,9999-12-31T00:00:00Z,False,False,True,20978,2000004109,Special,KS SPECIAL TAX DISTRICT (20978),US|KS|Special|KS SPECIAL TAX DISTRICT (20978),,,KS,SPECIAL TAX DISTRICT,20,US-KS-20,
,US|AL|Special|1201000041,US,043,US-AL-01-043,,2014-04-01T00:00:00Z,9999-12-31T00:00:00Z,True,True,False,1201000041,2001060144,Special,CULLMAN CO CULLMAN CITY LIMITS 7022 SP,US|AL|Special|CULLMAN CO CULLMAN CITY LIMITS 7022 SP,,,AL,CULLMAN CO CULLMN CL 7022,01,US-AL-01,
,US|KS|Special|20979,US,,,,2013-07-01T00:00:00Z,9999-12-31T00:00:00Z,False,False,True,20979,2000004110,Special,KS SPECIAL TAX DISTRICT (20979),US|KS|Special|KS SPECIAL TAX DISTRICT (20979),,,KS,SPECIAL TAX DISTRICT,20,US-KS-20,
,US|AL|Special|1201000043,US,077,US-AL-01-077,,2012-06-01T00:00:00Z,9999-12-31T00:00:00Z,True,True,False,1201000043,2001060146,Special,LAUDERDALE CO OUTSIDE FLORENCE,US|AL|Special|LAUDERDALE CO OUTSIDE FLORENCE,,,AL,LAUDERDALE CO OUT FL 7039,01,US-AL-01,
,US|AL|Special|1201000046,US,077,US-AL-01-077,,2012-06-01T00:00:00Z,9999-12-31T00:00:00Z,True,True,False,1201000046,2001060149,Special,LAUDERDALE CO INSIDE FLORENCE,US|AL|Special|LAUDERDALE CO INSIDE FLORENCE,,,AL,LAUDERDALE CO IN FLR 7139,01,US-AL-01,
,US|AL|Special|1201000051,US,081,US-AL-01-081,,2012-06-01T00:00:00Z,9999-12-31T00:00:00Z,True,True,False,1201000051,2001060156,Special,"LEE CO CITY LIMITS OF AUBURN, OPELIKA & PHENIX CITY","US|AL|Special|LEE CO CITY LIMITS OF AUBURN, OPELIKA & PHENIX CITY",,,AL,LEE CO CL AU OPE PHE 7741,01,US-AL-01,
,US|AL|Special|1201000054,US,081,US-AL-01-081,,2012-06-01T00:00:00Z,9999-12-31T00:00:00Z,True,True,False,1201000054,2001060159,Special,"LEE CO EXCLUDING CITY LIMITS OF AUBURN, EXCLUDING CITY LIMITS & POLICE JURISDICTION OF OPELIKA, EXCLUDING CITY LIMITS & POLICE JURISDICTION OF PHENIX CITY","US|AL|Special|LEE CO EXCLUDING CITY LIMITS OF AUBURN, EXCLUDING CITY LIMITS & POLICE JURISDICTION OF OPELIKA, EXCLUDING CITY LIMITS & POLICE JURISDICTION OF PHENIX CITY",,,AL,LEE CO OUT CL A O P  7041,01,US-AL-01,
,US|AL|Special|1201000060,US,093,US-AL-01-093,,2012-06-01T00:00:00Z,9999-12-31T00:00:00Z,True,True,False,1201000060,2001060165,Special,MARION CO INSIDE WINFIELD,US|AL|Special|MARION CO INSIDE WINFIELD,,,AL,MARION CO INSIDE WINFIELD,01,US-AL-01,
,US|AL|Special|1201000062,US,093,US-AL-01-093,,2012-06-01T00:00:00Z,9999-12-31T00:00:00Z,True,True,False,1201000062,2001060167,Special,MARION CO OUTSIDE WINFIELD,US|AL|Special|MARION CO OUTSIDE WINFIELD,,,AL,MARION CO OUT WINFLD 7147,01,US-AL-01,
,US|AL|Special|1201000064,US,051,US-AL-01-051,,2012-06-01T00:00:00Z,9999-12-31T00:00:00Z,True,True,False,1201000064,2001060169,Special,ELMORE CO,US|AL|Special|ELMORE CO,,,AL,ELMORE CO,01,US-AL-01,
,US|AL|Special|1201000067,US,051,US-AL-01-051,,2012-06-01T00:00:00Z,9999-12-31T00:00:00Z,True,True,False,1201000067,2001060172,Special,ELMORE CO CL PRATTVILLE,US|AL|Special|ELMORE CO CL PRATTVILLE,,,AL,ELMORE CO CL PRATTVILLE,01,US-AL-01,
,US|AL|Special|1201000072,US,095,US-AL-01-095,,2012-06-01T00:00:00Z,9999-12-31T00:00:00Z,True,True,False,1201000072,2001060177,Special,MARSHALL CO,US|AL|Special|MARSHALL CO,,,AL,MARSHALL CO,01,US-AL-01,
,US|KS|Special|1100000010,US,173,US-KS-20-173,,2012-07-01T00:00:00Z,9999-12-31T00:00:00Z,True,False,False,1100000010,2001060183,Special,WICHITA GREENWICH & K-96 CID SP,US|KS|Special|WICHITA GREENWICH & K-96 CID SP,,,KS,WICHITA GREENW K96 CID SP,20,US-KS-20,
,US|IL|Special|1100000012,US,179,US-IL-17-179,,2012-07-01T00:00:00Z,9999-12-31T00:00:00Z,True,False,False,1100000012,2001060186,Special,EAST PEORIA COSTCO BUSINESS DISTRICT SP,US|IL|Special|EAST PEORIA COSTCO BUSINESS DISTRICT SP,,,IL,EAST PEORIA COSTCO BD SP,17,US-IL-17,
,US|IL|Special|1100000013,US,179,US-IL-17-179,,2012-07-01T00:00:00Z,9999-12-31T00:00:00Z,True,False,False,1100000013,2001060188,Special,EAST PEORIA TARGET AREA BUSINESS DISTRICT SP,US|IL|Special|EAST PEORIA TARGET AREA BUSINESS DISTRICT SP,,,IL,EAST PEORIA TARGET BD SP,17,US-IL-17,
,US|IL|Special|1100000014,US,119,US-IL-17-119,,2012-07-01T00:00:00Z,9999-12-31T00:00:00Z,True,False,False,1100000014,2001060190,Special,GODFREY BUSINESS DISTRICT,US|IL|Special|GODFREY BUSINESS DISTRICT,,,IL,GODFREY BUSINESS DISTRICT,17,US-IL-17,
,US|IL|Special|1100000015,US,163,US-IL-17-163,,2012-07-01T00:00:00Z,9999-12-31T00:00:00Z,True,False,False,1100000015,2001060192,Special,MASCOUTAH INSIDE MASCOUTAH BUSINESS DISTRICT SP,US|IL|Special|MASCOUTAH INSIDE MASCOUTAH BUSINESS DISTRICT SP,,,IL,MASCOUTAH IN MASCT BD SP,17,US-IL-17,
