country,region,tax_form_code,tax_form_name,description,purpose,visible_to_customers,report_level,authority_level_guess,form_master_id,tax_authority_count,tax_authorities,tax_authority_ids,tax_type_count,tax_types,tax_type_ids,form_image_urls,raw_form_summary
US,AK,USAKSHISHMAREF,AK Shishmaref,City of Shishmaref Tax Return,Use to report local sales tax and sellers use tax.,True,CIT,city,892,1,SHISHMAREF,188,2,Sales Tax | Sellers Use,1 | 2,"[""https://cdn.tfc.prd.data.returns.avalara.net/tax-form-catalog/png/8416d246-f883-4d5f-9734-3b3f4f297050.png""]","{""FormMasterId"":892,""TaxFormCode"":""USAKSHISHMAREF"",""TaxFormName"":""AK Shishmaref"",""Description"":""City of Shishmaref Tax Return"",""Country"":""US"",""Region"":""AK"",""VisibleToCustomers"":true,""ReportLevel"":""CIT"",""Purpose"":""Use to report local sales tax and sellers use tax.""}"
US,AK,USAKSTPAUL,AK Saint Paul,Saint Paul Monthly Sales Tax Return,"Use to report local sales tax, sellers use tax, and consumer use tax monthly.",True,CIT,city,2209,1,SAINT PAUL,178,3,Sales Tax | Sellers Use | Consumer Use,1 | 2 | 3,"[""https://cdn.tfc.prd.data.returns.avalara.net/tax-form-catalog/png/b51e3f61-0955-4d02-aa1e-15755d337c34.png"",""https://cdn.tfc.prd.data.returns.avalara.net/tax-form-catalog/png/25f483a5-6608-481d-a4cf-089f5d9d10eb.png"",""https://cdn.tfc.prd.data.returns.avalara.net/tax-form-catalog/png/3b62b40c-ff8d-444b-82de-f6d4400dd856.png""]","{""FormMasterId"":2209,""TaxFormCode"":""USAKSTPAUL"",""TaxFormName"":""AK Saint Paul"",""Description"":""Saint Paul Monthly Sales Tax Return"",""Country"":""US"",""Region"":""AK"",""VisibleToCustomers"":true,""ReportLevel"":""CIT"",""Purpose"":""Use to report local sales tax, sellers use tax, and consumer use tax monthly.""}"
US,AK,USAKANIAK,AK Aniak,Aniak Sales Tax Return,"Use to report local sales tax, sellers use tax, and consumer use tax.",True,CIT,city,2401,1,ANIAK,115,3,Sales Tax | Sellers Use | Consumer Use,1 | 2 | 3,"[""https://cdn.tfc.prd.data.returns.avalara.net/tax-form-catalog/png/647e1036-f124-4083-91ba-7bee97440448.png""]","{""FormMasterId"":2401,""TaxFormCode"":""USAKANIAK"",""TaxFormName"":""AK Aniak"",""Description"":""Aniak Sales Tax Return"",""Country"":""US"",""Region"":""AK"",""VisibleToCustomers"":true,""ReportLevel"":""CIT"",""Purpose"":""Use to report local sales tax, sellers use tax, and consumer use tax.""}"
US,AK,USAKBUCKLAND,AK Buckland,City of Buckland Tax Return,Use to report local sales tax and sellers use tax.,True,CIT,city,2408,1,BUCKLAND,118,2,Sales Tax | Sellers Use,1 | 2,"[""https://cdn.tfc.prd.data.returns.avalara.net/tax-form-catalog/png/b4ce4f0b-f270-475f-8584-af3c522d7d97.png""]","{""FormMasterId"":2408,""TaxFormCode"":""USAKBUCKLAND"",""TaxFormName"":""AK Buckland"",""Description"":""City of Buckland Tax Return"",""Country"":""US"",""Region"":""AK"",""VisibleToCustomers"":true,""ReportLevel"":""CIT"",""Purpose"":""Use to report local sales tax and sellers use tax.""}"
US,AK,USAKSTMICHAEL,AK St. Michael,City of St. Michael Tax Return,Use to report local sales tax and sellers use tax.,True,CIT,city,2411,1,SAINT MICHAEL,177,2,Sales Tax | Sellers Use,1 | 2,"[""https://cdn.tfc.prd.data.returns.avalara.net/tax-form-catalog/png/be8abc93-3b5c-4590-97dc-c74b6f4fafc3.png""]","{""FormMasterId"":2411,""TaxFormCode"":""USAKSTMICHAEL"",""TaxFormName"":""AK St. Michael"",""Description"":""City of St. Michael Tax Return"",""Country"":""US"",""Region"":""AK"",""VisibleToCustomers"":true,""ReportLevel"":""CIT"",""Purpose"":""Use to report local sales tax and sellers use tax.""}"
US,AK,USAKOLDHARBOR,AK Old Harbor,City of Old Harbor Tax Return,Use to report local sales tax and sellers use tax.,True,CIT,city,2412,1,OLD HARBOR,168,2,Sales Tax | Sellers Use,1 | 2,"[""https://cdn.tfc.prd.data.returns.avalara.net/tax-form-catalog/png/5d222434-2b13-4f9d-b7c5-13c8e7579303.png""]","{""FormMasterId"":2412,""TaxFormCode"":""USAKOLDHARBOR"",""TaxFormName"":""AK Old Harbor"",""Description"":""City of Old Harbor Tax Return"",""Country"":""US"",""Region"":""AK"",""VisibleToCustomers"":true,""ReportLevel"":""CIT"",""Purpose"":""Use to report local sales tax and sellers use tax.""}"
US,AK,USAKALAKANUK,AK Alakanuk,City of Alakanuk Tax Return,Use to report local sales tax and sellers use tax.,True,CIT,city,2413,1,ALAKANUK,111,2,Sales Tax | Sellers Use,1 | 2,"[""https://cdn.tfc.prd.data.returns.avalara.net/tax-form-catalog/png/3cdd44c3-3879-43aa-9427-6c663ea575a9.png""]","{""FormMasterId"":2413,""TaxFormCode"":""USAKALAKANUK"",""TaxFormName"":""AK Alakanuk"",""Description"":""City of Alakanuk Tax Return"",""Country"":""US"",""Region"":""AK"",""VisibleToCustomers"":true,""ReportLevel"":""CIT"",""Purpose"":""Use to report local sales tax and sellers use tax.""}"
US,AK,USAKCHEFORNAK,AK Chefornak,City of Chefornak Tax Return,Use to report local sales tax and sellers use tax.,True,CIT,city,2414,1,CHEFORNAK,119,2,Sales Tax | Sellers Use,1 | 2,"[""https://cdn.tfc.prd.data.returns.avalara.net/tax-form-catalog/png/f058339c-5dea-4c92-b0f4-3f479b247bd2.png""]","{""FormMasterId"":2414,""TaxFormCode"":""USAKCHEFORNAK"",""TaxFormName"":""AK Chefornak"",""Description"":""City of Chefornak Tax Return"",""Country"":""US"",""Region"":""AK"",""VisibleToCustomers"":true,""ReportLevel"":""CIT"",""Purpose"":""Use to report local sales tax and sellers use tax.""}"
US,AK,USAKHOOPERBAY,AK Hooper Bay,City of Hooper Bay Tax Return,Use to report local sales tax and sellers use tax.,True,CIT,city,2415,1,HOOPER BAY,138,2,Sales Tax | Sellers Use,1 | 2,"[""https://cdn.tfc.prd.data.returns.avalara.net/tax-form-catalog/png/c4c5a02e-e725-4c83-89df-c6b393834b17.png""]","{""FormMasterId"":2415,""TaxFormCode"":""USAKHOOPERBAY"",""TaxFormName"":""AK Hooper Bay"",""Description"":""City of Hooper Bay Tax Return"",""Country"":""US"",""Region"":""AK"",""VisibleToCustomers"":true,""ReportLevel"":""CIT"",""Purpose"":""Use to report local sales tax and sellers use tax.""}"
US,AK,USAKKAKE,AK Kake,City of Kake Tax Return,"Use to report local sales tax, sellers use tax, and consumer use tax.",True,CIT,city,2416,1,KAKE,142,3,Sales Tax | Sellers Use | Consumer Use,1 | 2 | 3,"[""https://cdn.tfc.prd.data.returns.avalara.net/tax-form-catalog/png/f8d22caa-6700-4ea6-9a05-76d4250524b2.png""]","{""FormMasterId"":2416,""TaxFormCode"":""USAKKAKE"",""TaxFormName"":""AK Kake"",""Description"":""City of Kake Tax Return"",""Country"":""US"",""Region"":""AK"",""VisibleToCustomers"":true,""ReportLevel"":""CIT"",""Purpose"":""Use to report local sales tax, sellers use tax, and consumer use tax.""}"
