tax_form_code,tax_form_name,legacy_return_name,description,country,region,purpose,status,effective_date,end_date,preview_image,form_master_id,form_version_id,major,minor,revision
USALMONTGOMERYCOUNTYRENTALSALES,AL Montgomery County Rental Sales,ALMONTGOMERYCOUNTYRENTALSALES,Montgomery County Rental Tax Sales Return,US,AL,,PRODUCTION,2018-01-01T00:00:00,9999-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/e05c3b5a-ac54-4410-9516-f7f7158fddd0.png,21019403,21101085,1,0,5
USALMONTGOMERYPJ,AL Montgomery PJ,ALMONTGOMERYPJ,"Montgomery (City) Police Jurisdiction Sales, Seller's Use, & Consumer's Use Form",US,AL,,PRODUCTION,2023-07-01T00:00:00,9999-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/6768c881-861a-4883-9163-6bf0f3cdd4f9.png,847,21103587,1,0,35
USALMOODYRENTAL,AL Moody Rental,ALMOODYRENTAL,Rental Tax Return,US,AL,,PRODUCTION,2010-05-01T00:00:00,9999-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/c84ef9e2-28d2-4d4c-b549-74948b6e60cc.png,136,21103583,1,0,15
USALMORGANCOUNTY,AL Morgan County,ALMORGANCOUNTY,Morgan (County) Local Sales & Sellers Use Tax Form,US,AL,,PRODUCTION,2020-05-01T00:00:00,2023-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/9ad9e061-f416-45b5-a607-af7f6381ca0f.png,137,21096539,1,0,32
USALMORGANCOUNTYCU,AL Morgan County Consumers Use,ALMORGANCOUNTYCU,Morgan (County) Local Consumer Use Tax Form,US,AL,,PRODUCTION,2020-05-01T00:00:00,2023-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/6e190730-e61f-4afe-bda2-d6566f650a18.png,138,21096547,1,0,36
USALMOUNTAINBROOKCITY,AL Mountainbrook City,ALMOUNTAINBROOKCITY,"Mountain Brook (City) Local Sales, Rental/Lease, Lodging, Liquor, Use, & Wine Tax Report",US,AL,,PRODUCTION,2019-01-01T00:00:00,9999-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/c308a836-5664-417c-ae2e-99f5a8e58154.png,139,21103771,1,0,34
USALNAUVOOCITY,AL Nauvoo City,ALNAUVOOCITY,Nauvoo (City) Local Gross Receipts Tax Return,US,AL,,PRODUCTION,2019-01-01T00:00:00,9999-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/e174bc61-dcca-45ed-9a4e-0ab2d3bfbc08.png,140,21103556,1,0,24
USALNORTHPORT,AL Northport,ALNORTHPORT,"Northport (City) Local Sales, Use, & Rental Tax Return",US,AL,,PRODUCTION,2022-09-01T00:00:00,9999-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/8da4089c-b394-42b5-b937-38e64e5b3d92.png,141,21103565,1,0,32
USALOPELIKARENTAL,AL Opelika Rental,ALOPELIKARENTAL,Rental Tax Return,US,AL,,PRODUCTION,2010-05-01T00:00:00,9999-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/c0f1f88a-7a5a-4c77-b8b5-62ebfc0ea16f.png,142,1027,1,0,0
USALORANGEBEACHCITY,AL Orange Beach City,ALORANGEBEACHCITY,Orange Beach (City) Local Tax Return,US,AL,,PRODUCTION,2023-01-01T00:00:00,9999-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/288342df-f80b-4e99-b95f-70f7d95f5451.png,143,21106152,1,0,39
USALPELHAMCITY,AL Pelham City,ALPELHAMCITY,"Pelham (City) Local Sales, Sellers Use, Consumers Use, & Rental Tax Report",US,AL,,PRODUCTION,2024-06-01T00:00:00,9999-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/dea1546d-35a3-4a1b-800d-07b830fd865b.png,144,21109938,1,0,41
USALPELLCITY,AL Pell City,ALPELLCITY,"Pell City (City) Local Sales, Use, Lease Rental, & Liquor Tax Report",US,AL,,PRODUCTION,2025-04-01T00:00:00,9999-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/97185392-6955-461a-abd2-8047dd185813.png,145,21110202,1,0,34
USALPIEDMONTCITY,AL Piedmont City,ALPIEDMONTCITY,Piedmont (City) Local Sales & Use Tax Report,US,AL,,PRODUCTION,2019-01-01T00:00:00,9999-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/85381e7f-31ab-4854-8cb8-08b13cfb102a.png,146,21103571,1,0,26
USALPRATTVILLECITY,AL Prattville City,ALPRATTVILLECITY,"Prattville (City) Local Sales, Use, Rental, Lodging, Gas, & Liquor Tax Report",US,AL,,PRODUCTION,2023-10-01T00:00:00,9999-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/084763b3-34db-4489-bb52-954c5ed8e352.png,147,21103572,1,0,34
USALPRICEVILLE,AL Priceville,ALPRICEVILLE,"Priceville (City) Local Sales, Sellers Use, & Consumer Use Tax Form",US,AL,,PRODUCTION,2020-05-01T00:00:00,2023-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/d60ad2e7-9f9c-4755-92cb-c3d9b048d880.png,3290,21096509,1,0,24
USALRANBURNE,AL Ranburne,ALRANBURNE,Sales and Use Tax Report,US,AL,,PRODUCTION,2010-01-01T00:00:00,2011-09-30T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/da64a2bd-116c-46c3-98f9-96278989783c.png,148,6587,1,0,3
USALROBERTSDALECITY,AL Robertsdale City,ALROBERTSDALECITY,"Robertsdale (City) Local Sales, Use, & Rental Tax Report",US,AL,,PRODUCTION,2019-01-01T00:00:00,9999-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/945af902-6b71-462e-b144-5b57c0c7c511.png,149,21103574,1,0,21
USALSECTION,AL Section,ALSECTION,Sales and Use Tax Report,US,AL,,PRODUCTION,2019-01-01T00:00:00,2019-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/552be4f0-59ef-4087-8b06-9b53ad5fbe98.png,151,14994,1,0,11
USALSECTIONPJ,AL Section PJ,ALSECTIONPJ,Police Jurisdiction Sales and Use Tax Report,US,AL,,PRODUCTION,2019-01-01T00:00:00,2019-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/4b64a044-d22c-47e2-afbc-c01af7590f6f.png,152,14992,1,0,9
USALSHELBYCOUNTY,AL Shelby County,ALSHELBYCOUNTY,"Shelby (County) Local Sales, Use, Rental, Lodging, & Tobacco Tax Return",US,AL,,PRODUCTION,2024-04-01T00:00:00,9999-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/52c9130f-1f93-4acc-9fe5-2e985d3b4467.png,153,21110021,1,0,51
USALSTACSCOMBINED,AL STACS Combined,ALSTACSCOMBINED,STACS Combined Report (STACS-administered local tax),US,AL,,PRODUCTION,2026-02-01T00:00:00,9999-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/ad29d371-89cc-400d-8016-3532272c1860.png,155,21114824,1,0,54
USALSTCLAIRCOUNTY,AL St Clair County,ALSTCLAIRCOUNTY,St. Clair (County) Local Tax Return,US,AL,,PRODUCTION,2024-10-01T00:00:00,9999-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/f603b139-db37-4a0e-a55b-59408b8b332e.png,156,21107349,1,0,40
USALSU2610,AL 2610,ALSU2610,Alabama State Consumers Use Tax Return,US,AL,,PRODUCTION,2025-09-01T00:00:00,9999-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/5fcf5cce-35a0-4ebc-82fa-1efca509c994.png,59,21112425,1,0,10
USALTALLADEGA,AL Talladega,ALTALLADEGA,Talladega (City) Local Tax Return,US,AL,,PRODUCTION,2019-01-01T00:00:00,9999-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/e4caa4b3-47a0-42b5-af35-9e105bc92e5f.png,157,21103598,1,0,26
USALTRINITYCITY,AL Trinity City,ALTRINITYCITY,"Trinity (City) Local Sales, Sellers Use, Consumer Use Tax Form",US,AL,,PRODUCTION,2020-05-01T00:00:00,9999-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/7352af07-8d7a-4fea-b8d1-efd0004793d3.png,158,21103603,1,0,39
USALTRUSSVILLE,AL Trussville Rental,ALTRUSSVILLE,Rental Tax Return,US,AL,,PRODUCTION,2019-01-01T00:00:00,9999-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/155373c0-7f2d-4ee2-bbd5-2ca6cec59ecb.png,159,21103600,1,0,22
USALTUSCALOOSACITY,AL Tuscaloosa City Sales,ALTUSCALOOSACITY,Tuscaloosa (City) Local Sales Tax Report,US,AL,,PRODUCTION,2025-06-01T00:00:00,9999-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/4eb3f884-5bfb-4b60-9874-c6f91cedf349.png,160,21111193,1,0,34
USALTUSCALOOSACITYRENTAL,AL Tuscaloosa City Rental,ALTUSCALOOSACITYRENTAL,Rental-Tangible Property Tax Report,US,AL,,PRODUCTION,2025-06-01T00:00:00,9999-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/8d9817b6-1f84-495c-bb2d-624b74b60e33.png,161,21111078,1,0,24
USALTUSCALOOSACITYSU,AL Tuscaloosa City Sellers Use,ALTUSCALOOSACITYSU,Sellers Use Tax Report,US,AL,,PRODUCTION,2019-10-01T00:00:00,2019-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/0cf6bbbb-70c0-45de-9d3a-adf0748216af.png,3226,34433,1,0,10
USALTUSCALOOSACITYUSE,AL Tuscaloosa City Use,ALTUSCALOOSACITYUSE,Tuscaloosa (City) Local Use Tax Report,US,AL,,PRODUCTION,2023-02-01T00:00:00,9999-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/0a54fea1-2187-47cc-a641-bf79626565b1.png,162,21103606,1,0,31
USALTUSCALOOSACOUNTYSALES,AL Tuscaloosa County Sales,ALTUSCALOOSACOUNTYSALES,Tuscaloosa (County) Local Sales Tax Return,US,AL,,PRODUCTION,2025-11-01T00:00:00,9999-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/d3c5cd82-c877-4d61-aa97-ec89d129158d.png,163,21113476,1,0,32
USALTUSCALOOSACOUNTYUSE,AL Tuscaloosa County Use,ALTUSCALOOSACOUNTYUSE,Tuscaloosa (County) Local Use Tax Return,US,AL,,PRODUCTION,2025-11-01T00:00:00,9999-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/ae4d87f6-b4e2-4fb0-b297-265790d3e059.png,164,21113278,1,0,26
USALWALKERCOUNTY,AL Walker County,ALWALKERCOUNTY,Sales and Use Tax Return,US,AL,,PRODUCTION,2015-01-01T00:00:00,2015-01-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/0ba13e36-46c3-47c1-9e2e-c03c318f8fdb.png,165,7827,1,0,2
USALWEAVERSALES,AL Weaver Sales,ALWEAVERSALES,Weaver (City) Local Sales Tax Report,US,AL,,PRODUCTION,2021-09-01T00:00:00,9999-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/7ad977a4-6d37-4ae3-b222-056fa5c6fe6a.png,166,21103540,1,0,30
USALWEAVERUSE,AL Weaver Use,ALWEAVERUSE,Weaver (City) Local Sellers & Consumers Use Tax Report,US,AL,,PRODUCTION,2022-06-01T00:00:00,9999-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/a66c9155-5109-4071-9f3f-c105649f3e5a.png,167,21103536,1,0,20
USARET1,AR ET1,ARET1,Arkansas Excise Tax Return,US,AR,,PRODUCTION,2026-01-01T00:00:00,9999-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/e20aba60-cdf4-458f-8e34-90510026f073.png,168,21114018,1,0,210
USARFIRSTPREPAY,AR Sales 1st Prepay,ARFIRSTPREPAY,Sales Tax - 1st Monthly Prepayment,US,AR,,PRODUCTION,1900-01-01T00:00:00,9999-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/3729030b-a5cb-43d3-b260-6c7f0352062f.png,175,16209,1,0,3
USARSECONDPREPAY,AR Sales 2nd Prepay,ARSECONDPREPAY,Sales Tax - 2nd Monthly Prepayment,US,AR,,PRODUCTION,1900-01-01T00:00:00,9999-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/cb5f1da1-3730-40d8-8cd8-b7b8d63a3248.png,176,16224,1,0,2
USARSER,AR SER,ARSER,SST Electronic Return,US,AR,,PRODUCTION,1900-01-01T00:00:00,9999-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/ff41e382-c720-445d-ba30-294429b4094a.png,172,21114188,1,0,157
USAZAPACHEJUNCTION,AZ Apache Junction,AZAPACHEJUNCTION,Privilege (Sales) Tax Return for city of Apache Junction,US,AZ,,PRODUCTION,2015-04-01T00:00:00,2016-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/72303968-352f-4e01-b0aa-f1bf52e1b822.png,177,4879,1,0,5
USAZAVONDALE,AZ Avondale,AZAVONDALE,Privilege (Sales) and Use Tax Return,US,AZ,,PRODUCTION,2014-12-01T00:00:00,2016-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/8254efaa-1340-4689-9488-a67da70ac8dd.png,178,5131,1,0,5
USAZCHANDLER,AZ Chandler,AZCHANDLER,Transaction Privilege (Sales) and Use Tax Return,US,AZ,,PRODUCTION,2015-12-01T00:00:00,2016-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/4e6f68bf-e0ba-4d34-bde1-115db80de02b.png,179,4869,1,0,5
USAZCORIVER,AZ Colorado River Indian Tribes Return,AZCORIVER,AZ Colorado River Indian Tribes Tax Return,US,AZ,,PRODUCTION,2025-07-01T00:00:00,9999-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/9e2a6b0c-7d00-40b9-8d19-caf97f4b9cd0.png,4436,21112710,1,0,11
USAZCORIVERTOBACCO,AZ Colorado River Indian Tribes Tobacco Return,AZCORIVERTOBACCO,Tobacco Product Sales Information Return,US,AZ,,PRODUCTION,1900-01-01T00:00:00,9999-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/82179e34-2db8-4be9-b6eb-3d0264a93c3f.png,1013636,21095294,1,0,8
USAZDOUGLAS,AZ Douglas,AZDOUGLAS,Privilege (Sales) and Use Tax Return,US,AZ,,PRODUCTION,2016-04-01T00:00:00,2016-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/804254f8-fefc-46b9-b65d-eb7b0262618c.png,180,4591,1,0,4
USAZFLAGSTAFF,AZ Flagstaff,AZFLAGSTAFF,Transaction Privilege (Sales) Tax Return,US,AZ,,PRODUCTION,2016-01-01T00:00:00,2016-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/5b29ad45-2f77-464e-9e2d-bc6f30d03824.png,181,4866,1,0,3
USAZGILARIVER,AZ Gila River,AZGILARIVER,Gila River Community Sales Tax Return,US,AZ,,PRODUCTION,2025-01-01T00:00:00,9999-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/54716aa8-636b-4b43-8ab8-e2eae8af2c3a.png,182,21109087,1,0,11
USAZGLENDALE,AZ Glendale,AZGLENDALE,Transaction Privilege (Sales) and Use Tax Return,US,AZ,,PRODUCTION,2015-12-01T00:00:00,2016-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/66bdf7f6-2c36-47b1-ae75-2f80b9a290e3.png,183,4882,1,0,7
USAZKAYENTA,AZ Kayenta,AZKAYENTA,Transaction Privilege and Use Tax Report,US,AZ,,PRODUCTION,2023-08-01T00:00:00,9999-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/ddbedf2e-46cc-49b5-ae08-491a2d733bf6.png,184,21100698,1,0,14
USAZMESA,AZ Mesa,AZMESA,Transaction Privilege and Use Tax Return,US,AZ,,PRODUCTION,2009-06-01T00:00:00,2016-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/4de94cde-8885-4dc9-8385-c5a05b535c71.png,185,5698,1,0,5
USAZNAV600,AZ Navajo 600,AZNAV600,(05/05) Sales Tax Return,US,AZ,,PRODUCTION,2018-07-01T00:00:00,9999-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/881d2c23-b862-49ba-b1a4-8a55726796d1.png,187,21099779,1,0,3
USAZNOGALES,AZ Nogales,AZNOGALES,Transaction Privilege Sales Tax Return,US,AZ,,PRODUCTION,2016-02-01T00:00:00,2016-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/13ce6900-0c49-4c6f-9a3c-a9b4c5000feb.png,188,4431,1,0,3
USAZPEORIA,AZ Peoria,AZPEORIA,Privilege (Sales) and Use Tax Return,US,AZ,,PRODUCTION,2016-07-01T00:00:00,2016-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/d66512cf-07be-429d-a951-f8d5f4c50d88.png,189,6958,1,0,9
USAZPHOENIX,AZ Phoenix,AZPHOENIX,Privilege (Sales) Tax Return,US,AZ,,PRODUCTION,2014-01-01T00:00:00,2016-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/70a14cf8-fecb-469c-8e89-fe1a77dfff72.png,190,5328,1,0,15
USAZPRESCOTT,AZ Prescott,AZPRESCOTT,Transaction Privilege and Use Tax Report,US,AZ,,PRODUCTION,2015-12-01T00:00:00,2016-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/348ccd92-87ee-4a65-b6af-601ac42f57a7.png,191,5000,1,0,11
USAZSALTRIVER,AZ Salt River,AZSALTRIVER,Salt River Pima-Maricopa Indian Community Sales Tax Return,US,AZ,,PRODUCTION,2025-07-01T00:00:00,9999-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/ffcbbc68-64a3-45e6-a781-41d2b032d689.png,193,21112901,1,0,36
USAZSCOTTSDALE,AZ Scottsdale,AZSCOTTSDALE,Transaction Privilege and Use Tax Return,US,AZ,,PRODUCTION,1900-01-01T00:00:00,2016-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/39f12e83-2d65-4d4b-8519-d4bb4e030e1d.png,194,6551,1,0,3
USAZTEMPE,AZ Tempe,AZTEMPE,"Privilege (Sales), Use and Transient Lodging (Bed) Tax Report",US,AZ,,PRODUCTION,2014-07-01T00:00:00,2016-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/5ce06587-8662-43f5-82e6-b4a8dc43d85e.png,197,5580,1,0,8
USAZTPT1,AZ TPT1,AZTPT1,"Transaction Privilege, Use and Severance Tax Return TPT-1",US,AZ,,PRODUCTION,2016-02-01T00:00:00,2016-05-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/ed674ba3-96a1-456d-b8ee-f7ad0d98c717.png,195,5371,1,0,30
USAZTPT2,AZ TPT2,AZTPT2,"Transaction Privilege, Use and Severance Tax Return - (TPT-2)",US,AZ,,PRODUCTION,2026-01-01T00:00:00,9999-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/34f65731-3a60-472d-b731-876b4422f5f8.png,934,21113553,1,0,347
USAZTPTES,AZ TPT ES,AZTPTES,Annual Estimated Payment Form for Transaction Privilege Tax,US,AZ,,PRODUCTION,2016-11-01T00:00:00,9999-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/b8f077e8-e0e5-4204-8706-7a2a2f0c68ac.png,196,20746,1,0,6
USAZTUCSON,AZ Tucson,AZTUCSON,Tax Return,US,AZ,,PRODUCTION,2016-07-01T00:00:00,2016-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/00f2483c-9c0a-4d5b-bef5-82e3a7e37943.png,198,5683,1,0,9
USAZYAVAPAIPRESCOTT,AZ YAVAPAI PRESCOTT,AZYAVAPAIPRESCOTT,Yavapai-Prescott Indian Tribe Report of Gross Income and Privilege License Tax,US,AZ,,PRODUCTION,2025-06-01T00:00:00,9999-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/397ada56-bdca-427a-aa0a-e40fe937cd46.png,1013131,21111176,1,0,8
USCABOE1150,CA BOE 1150,CABOE1150,Prepayment Form for Sales and Use Tax Filers,US,CA,,PRODUCTION,2010-09-01T00:00:00,2018-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/bdbe58c3-c0f4-449f-a928-e5264a164471.png,199,6627,1,0,2
USCABOE401A2,CA BOE 401 A2,CABOE401A2,"State, Local, and District Sales and Use Tax Return",US,CA,,PRODUCTION,2017-10-01T00:00:00,2017-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/1aef63a9-bb05-438c-b260-398cbaad94f2.png,200,11106,1,0,99
USCABOE401A2OUTLET,CA BOE 401 A2 Outlet,CABOE401A2OUTLET,"State, Local, and District Sales and Use Tax Return with Schedule C",US,CA,,PRODUCTION,2017-10-01T00:00:00,2017-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/c68c5f8f-23e6-484e-b0f2-2ab75fae1124.png,201,11132,1,0,74
USCABOE401A2SPLIT,CA BOE 401 A2 Split,CABOE401A2SPLIT,"State, Local, and District Sales and Use Tax Return- Split",US,CA,,PRODUCTION,2017-10-01T00:00:00,9999-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/0b6ed6fa-2491-441f-ac1d-371e92b7cc4f.png,2811,10913,1,0,11
USCABOE531F,CA BOE 531 F,CABOE531F,Schedule F - Detailed Allocation by City of 1% Combined Rate,US,CA,,PRODUCTION,2016-11-01T00:00:00,2018-03-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/6a01c709-f530-4118-875e-b157223db12d.png,204,8740,1,0,3
USCACDTFA401A2,CA CDTFA 401 A2,CACDTFA401A2,"State, Local, and District Sales and Use Tax Return",US,CA,,PRODUCTION,2026-01-01T00:00:00,9999-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/e638c0ef-26ad-4cd6-a528-260388c5cdab.png,3230,21114229,1,0,375
USCACDTFA401A2OUTLET,CA CDTFA 401 A2 OUTLET,CACDTFA401A2OUTLET,"State, Local, and District Sales and Use Tax Return with Schedule C",US,CA,,PRODUCTION,2025-04-01T00:00:00,2025-06-30T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/536f3ff7-c49f-420f-bfda-58564f706fec.png,3231,21111199,1,0,295
USCACDTFA401E,CA CDTFA 401 E,CACDTFA401E,"State, Local, and District Consumer Use Tax Return",US,CA,,PRODUCTION,2026-01-01T00:00:00,9999-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/24e51ca8-a241-4cc0-a46a-dc7a2adc680d.png,3533,21114473,1,0,196
USCACDTFA531H,CA CDTFA 531 H,CACDTFA531H,Schedule H -  Detailed Allocation by City of 1% Combined Rate,US,CA,,PRODUCTION,2018-01-01T00:00:00,2018-03-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/050022e3-69d1-42bc-8db5-a4bdf4c3f398.png,3288,11836,1,0,2
USCAMODESTO,CA Modesto,CAMODESTO,Declaration of Gross Receipts,US,CA,,PRODUCTION,2017-06-01T00:00:00,9999-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/34ec5688-2f4c-499f-8db0-31b7310ef846.png,2523,8885,1,0,0
USCAPREPAYMENT,CA Prepayment,CAPREPAYMENT,Sales and Use Tax Prepayment Form,US,CA,,PRODUCTION,1900-01-01T00:00:00,9999-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/4a06c58e-6f37-4ed9-8faa-f681e84f2b16.png,3779,19214,1,0,3
