tax_form_code,tax_form_name,legacy_return_name,description,country,region,purpose,status,effective_date,end_date,preview_image,form_master_id,form_version_id,major,minor,revision
USAKEMMONAK,AK Emmonak,AKEMMONAK,Consumer Tax on Sales and Services (Quarterly),US,AK,,PRODUCTION,2016-12-01T00:00:00,9999-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/2b299465-451f-4152-bfdf-2fd87effb2b8.png,20,6984,1,0,1
USAKFORTYUKON,AK Fort Yukon,AKFORTYUKON,Sales Tax Report,US,AK,,PRODUCTION,2016-12-01T00:00:00,9999-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/3fa9d7da-ff21-452a-95a4-97e084ba1037.png,885,6776,1,0,1
USAKGALENA,AK Galena,AKGALENA,Sales and Use Tax Return,US,AK,,PRODUCTION,2017-08-01T00:00:00,9999-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/d9a11598-e83f-4265-9bb3-464ad9f7f658.png,848,10138,1,0,7
USAKGALENACOMBINED,AK Galena Combined,AKGALENACOMBINED,"Ak Galena 6% Alcohol, Tobacco and Transient Housing Return",US,AK,,PRODUCTION,2019-01-01T00:00:00,9999-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/ca7b9afc-e9ac-45ba-9988-66a5aaca46f4.png,4713,17187,1,0,0
USAKGUSTAVUS,AK Gustavus,AKGUSTAVUS,Room Tax and Sales Tax Return,US,AK,,PRODUCTION,2024-11-01T00:00:00,9999-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/a99ddf25-ec4e-4cd2-99f9-faa1e3a2f6e5.png,22,21108268,1,0,11
USAKHAINES,AK Haines Borough,AKHAINES,Haines Borough Sales Tax Report,US,AK,,PRODUCTION,2025-06-01T00:00:00,9999-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/0af82e21-4b70-4165-b97c-87f71b5aff9a.png,23,21112166,1,0,14
USAKHOONAH,AK Hoonah,AKHOONAH,Monthly Sales Tax Return Form,US,AK,,PRODUCTION,2022-06-01T00:00:00,9999-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/ab9afe68-f27c-4ccf-8cf2-355625111b6f.png,24,21069905,1,0,16
USAKHOOPERBAY,AK Hooper Bay,AKHOOPERBAY,City of Hooper Bay Tax Return,US,AK,,PRODUCTION,1900-01-01T00:00:00,9999-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/c4c5a02e-e725-4c83-89df-c6b393834b17.png,2415,41237,1,0,3
USAKHOUSTON,AK Houston,AKHOUSTON,Sales Tax Return,US,AK,,PRODUCTION,2024-04-01T00:00:00,9999-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/9f2ec898-b705-4636-8ed0-e9674fbac37e.png,25,21106416,1,0,16
USAKJUNEAUA,AK JUNEAU Annual,AKJUNEAUA,Annual Sales Tax Return Form,US,AK,,PRODUCTION,2017-05-01T00:00:00,2021-05-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/ec915e3c-6166-4084-bc6b-a238727cf5c5.png,896,9035,1,0,4
USAKJUNEAUCOMBDM,AK JUNEAU Combined Monthly,AKJUNEAUCOMBDM,"Combined Monthly Sales, Lodging and Alcohol Tax Return Form",US,AK,,PRODUCTION,2020-03-01T00:00:00,2021-05-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/8cd2e1fe-2990-4eed-8542-3c15b025fc3a.png,4669,40846,1,0,3
USAKJUNEAUCOMBDQ,AK JUNEAU Combined Quarterly,AKJUNEAUCOMBDQ,"Combined Quarterly Sales, Lodging and Alcohol Tax Return Form",US,AK,,PRODUCTION,2020-01-01T00:00:00,2021-05-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/58cd31cf-cd2a-4240-800e-c88ee2986782.png,4670,40851,1,0,6
USAKJUNEAUCOMBINED,AK Juneau Combined,AKJUNEAUCOMBINED,City and Borough of Juneau - Combined Sales Tax Return,US,AK,,PRODUCTION,2023-11-01T00:00:00,9999-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/ea21bdc8-67c8-4fdf-adb7-36d17901aab0.png,26,21112848,1,0,24
USAKJUNEAUM,AK JUNEAU Monthly,AKJUNEAUM,Monthly Sales Tax Return Form,US,AK,,PRODUCTION,2017-05-01T00:00:00,2021-05-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/05e9f165-4d73-484e-b7fe-ef95fabd0fa4.png,834,9030,1,0,2
USAKJUNEAUQ,AK JUNEAU Quarterly,AKJUNEAUQ,Quarterly Sales Tax Return Form,US,AK,,PRODUCTION,2017-05-01T00:00:00,2025-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/6bb0ba9a-b248-45d2-8529-e7c5e1d39f90.png,897,9029,1,0,4
USAKKAKE,AK Kake,AKKAKE,City of Kake Tax Return,US,AK,,PRODUCTION,1900-01-01T00:00:00,9999-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/f8d22caa-6700-4ea6-9a05-76d4250524b2.png,2416,21059135,1,0,6
USAKKENAI,AK Kenai Borough,AKKENAI,City and Borough Joint Sales Tax Return,US,AK,,PRODUCTION,2025-09-01T00:00:00,9999-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/c4bc499d-192f-45f8-a568-d4a6a4e4cb38.png,27,21111919,1,0,66
USAKKETCHIKAN,AK Ketchikan,AKKETCHIKAN,"Combined City and Borough Sales Tax Report (Quarterly, Annually)",US,AK,,PRODUCTION,2024-04-01T00:00:00,9999-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/52e271fc-d3ce-4539-bb08-e90e5dcb9eab.png,28,21108565,1,0,35
USAKKINGCOVEQ,AK King Cove Quarterly,AKKINGCOVEQ,King Cove Quarterly Sales Tax Return,US,AK,,PRODUCTION,2001-06-01T00:00:00,9999-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/f09c5d1e-0625-4c1d-abf5-09db5c6724f3.png,795,18222,1,0,6
USAKKIVALINA,AK Kivalina,AKKIVALINA,Sales Tax on Sales and Services,US,AK,,PRODUCTION,2017-04-01T00:00:00,9999-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/4ef4a820-bb10-4092-a616-3bb3815f95fe.png,3289,21066458,1,0,4
USAKKLAWOCK,AK Klawock,AKKLAWOCK,Sales Tax Return / Transient Occupancy Tax (Quarterly),US,AK,,PRODUCTION,1900-01-01T00:00:00,9999-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/9e010bf8-ca5a-4723-b629-e49d70b5bb57.png,30,21066500,1,0,9
USAKKODIAK,AK Kodiak,AKKODIAK,"Report of Consumers' Tax on Sales, Services and Rentals (Monthly)",US,AK,,PRODUCTION,2021-05-01T00:00:00,9999-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/85476f82-3d38-4ba5-8e22-30cbcc22d915.png,31,21066928,1,0,10
USAKKOTZEBUE,AK Kotzebue,AKKOTZEBUE,City of Kotzebue Seller's Monthly Return,US,AK,,PRODUCTION,2019-01-01T00:00:00,9999-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/6ed96bf9-84e1-448d-943a-c2b8a732f851.png,32,21070808,1,0,21
USAKKOYUK,AK Koyuk,AKKOYUK,City of Koyuk Tax Return,US,AK,,PRODUCTION,1900-01-01T00:00:00,9999-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/a8a5443f-9370-4afa-bdc0-302f4f6d4a4d.png,2417,41148,1,0,1
USAKMANOKOTAK,AK Manokotak,AKMANOKOTAK,City of Manokotak Tax Return,US,AK,,PRODUCTION,2018-01-01T00:00:00,9999-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/121c86d8-b349-4924-baf6-13602372de4d.png,2418,21066532,1,0,1
